card_name,orientation,keywords,positivity_vader,positivity_llm,positivity,severity,domain_love,domain_career,domain_health,domain_spirit,energy_active
The Fool,upright,"beginnings, freedom, innocence, originality, adventure, idealism, spontaneity",0.8957,0.8,0.8478,0.6,0,0,0,0,1
The Fool,reversed,"reckless, careless, distracted, naive, foolish, gullible, stale, dull",-0.9325,-0.7,-0.8162,0.5,0,0,0,0,1
The Magician,upright,"willpower, desire, being resourceful,, skill, ability, concentration, manifestation",0.6124,0.8,0.7062,0.6,0,1,0,1,1
The Magician,reversed,"manipulation, cunning, trickery, wasted talent, illusion, deception",-0.765,-0.8,-0.7825,0.6,0,1,0,0,1
The High Priestess,upright,"unconscious, intuition, mystery, spirituality, higher power, inner voice",0.0,0.7,0.35,0.4,0,0,0,1,0
The High Priestess,reversed,"repressed intuition, hidden motives, superficiality, confusion, cognitive dissonance",-0.5423,-0.7,-0.6211,0.5,0,0,1,1,0
The Empress,upright,"divine feminine, sensuality, fertility, nurturing, creativity, beauty, abundance, nature",0.9186,0.9,0.9093,0.2,1,1,1,1,0
The Empress,reversed,"insecurity, overbearing, negligence, smothering, lack of growth, lack of progress",-0.5267,-0.7,-0.6133,0.5,1,1,0,0,0
The Emperor,upright,"stability, structure, protection, authority, control, practicality, focus, discipline",0.0772,0.6,0.3386,0.5,0,1,0,0,1
The Emperor,reversed,"tyrant, domineering, rigid, stubborn, lack of discipline, recklessness",-0.6705,-0.8,-0.7352,0.7,0,0,0,0,1
The Hierophant,upright,"tradition, social groups, conventionality, conformity, education, knowledge, beliefs",0.0,0.2,0.1,0.3,0,0,0,1,0
The Hierophant,reversed,"rebellion, unconventionality, non-conformity, new methods, ignorance",-0.4588,-0.1,-0.2794,0.5,0,0,0,0,1
The Lovers,upright,"love, unions, partnerships, relationships, choices, romance, balance, unity",0.8316,0.8,0.8158,0.6,1,0,0,0,1
The Lovers,reversed,"disharmony, imbalance, conflict, detachment, bad choices, indecision",-0.765,-0.7,-0.7325,0.6,1,0,0,0,0
The Chariot,upright,"success, ambition, determination, willpower, control, self-discipline, focus",0.7506,0.8,0.7753,0.6,0,1,0,0,1
The Chariot,reversed,"forceful, no direction, no control, powerless, aggression, obstacles",-0.3578,-0.7,-0.5289,0.8,0,0,0,0,1
Strength,upright,"courage, bravery, confidence, compassion, self-confidence, inner power",0.9136,0.9,0.9068,0.5,1,0,0,1,1
Strength,reversed,"self-doubt, weakness, low confidence, inadequacy, cowardice, forcefulness",-0.5106,-0.7,-0.6053,0.5,0,0,1,1,1
The Hermit,upright,"self-reflection, introspection, contemplation, withdrawal, solitude, search for self",0.0258,0.1,0.0629,0.4,0,0,0,1,0
The Hermit,reversed,"loneliness, isolation, recluse, being anti-social, rejection, returning to society",-0.8402,-0.3,-0.5701,0.4,1,0,1,0,1
Wheel of Fortune,upright,"change, cycles, fate, decisive moments, luck, fortune, unexpected events",0.5994,0.3,0.4497,0.8,0,0,0,1,1
Wheel of Fortune,reversed,"bad luck, lack of control, clinging to control, unwelcome changes, delays",-0.6705,-0.7,-0.6852,0.6,0,0,0,0,1
Justice,upright,"justice, karma, consequence, accountability, law, truth, honesty, integrity, cause and effect",0.8885,0.7,0.7942,0.6,0,0,0,0,1
Justice,reversed,"injustice, retribution, dishonesty, corruption, dishonesty, unfairness, avoiding accountability",-0.7269,-0.8,-0.7634,0.7,0,0,0,0,0
The Hanged Man,upright,"sacrifice, waiting, uncertainty, lack of direction, perspective, contemplation",-0.5719,-0.2,-0.386,0.5,0,1,0,1,0
The Hanged Man,reversed,"stalling, disinterest, stagnation, avoiding sacrifice, standstill, apathy",-0.6597,-0.6,-0.6299,0.4,0,0,0,0,0
Death,upright,"transformation, endings, change, transition, letting go, release",0.0,0.1,0.05,0.8,0,0,0,1,1
Death,reversed,"fear of change, repeating negative patterns, resisting change, stagnancy, decay",-0.8625,-0.7,-0.7812,0.6,0,0,1,0,0
Temperance,upright,"balance, peace, patience, moderation, calm, tranquillity, harmony, serenity",0.8834,0.8,0.8417,0.2,0,0,1,1,0
Temperance,reversed,"imbalance, excess, extremes, discord, recklessness, hastiness",-0.4019,-0.7,-0.5509,0.6,1,0,1,0,1
The Devil,upright,"oppression, addiction, obsession, dependency, excess, powerlessness, limitations",-0.34,-0.8,-0.57,0.8,1,0,1,1,0
The Devil,reversed,"independence, freedom, revelation, release, reclaiming power, reclaiming control",0.6369,0.8,0.7185,0.7,0,0,0,1,1
The Tower,upright,"disaster, destruction, upheaval, trauma, sudden change, chaos",-0.936,-0.9,-0.918,1.0,0,0,1,0,1
The Tower,reversed,"averting disaster, delaying the inevitable, resisting change",-0.6249,-0.2,-0.4124,0.8,0,0,0,0,0
The Star,upright,"hope, inspiration, positivity, faith, renewal, healing, rejuvenation",0.9081,0.9,0.9041,0.4,0,0,1,1,0
The Star,reversed,"hopelessness, despair, negativity, lack of faith, despondent",-0.9062,-0.8,-0.8531,0.7,0,0,1,1,0
The Moon,upright,"illusion, intuition, uncertainty, confusion, complexity, secrets, unconscious",-0.5574,-0.2,-0.3787,0.6,0,0,0,1,0
The Moon,reversed,"fear, deception, anxiety, misunderstanding, misinterpretation, clarity, understanding",-0.7845,-0.1,-0.4422,0.5,1,0,1,1,1
The Sun,upright,"happiness, success, optimism, vitality, joy, confidence, happiness, truth",0.9779,0.95,0.9639,0.4,1,1,1,1,1
The Sun,reversed,"blocked happiness, excessive enthusiasm, pessimism, unrealistic expectations, conceitedness",0.4404,-0.3,0.0702,0.4,0,0,0,0,1
Judgement,upright,"self-evaluation, awakening, renewal, purpose, reflection, reckoning",0.0,0.6,0.3,0.8,0,0,0,1,1
Judgement,reversed,"self-doubt, lack of self-awareness, failure to learn lessons, self-loathing",-0.6808,-0.8,-0.7404,0.6,0,0,1,1,0
The World,upright,"completion, achievement, fulfilment, sense of belonging, wholeness, harmony",0.4019,0.9,0.651,0.8,1,1,1,1,0
The World,reversed,"lack of closure, lack of achievement, feeling incomplete, emptiness",-0.7184,-0.7,-0.7092,0.6,0,1,0,0,0
Ace of Wands,upright,"inspiration, creative spark, new initiative, new passion, enthusiasm, energy",0.9349,0.8,0.8675,0.5,1,1,0,1,1
Ace of Wands,reversed,"delays, blocks, lack of passion, lack of energy, hesitancy, creative blocks",-0.0772,-0.7,-0.3886,0.4,1,1,1,1,0
Two of Wands,upright,"planning, first steps, making decisions, leaving comfort, taking risks",0.1027,0.3,0.2014,0.5,0,1,0,0,1
